dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
beans,resnet18,finetuned,512,all features,,,RandomForestClassifier,0.84375,0.842967700795161,0.842424242424242,0.844592100406054,0.958882700366969
beans,resnet18,finetuned,512,brkga features,319,,RandomForestClassifier,0.8359375,0.836940836940837,0.837798425603304,0.836655592469546,0.95437267930428
beans,resnet18,finetuned,512,random features,319,207,RandomForestClassifier,0.8203125,0.819933030683538,0.819333436463329,0.820967146548542,0.952633921785769
beans,resnet18,finetuned,512,random features,319,201,RandomForestClassifier,0.859375,0.857299741602067,0.858905326990433,0.860095976375046,0.958603131174951
beans,resnet18,finetuned,512,random features,319,200,RandomForestClassifier,0.8671875,0.867213862289102,0.866740494647471,0.867847914359542,0.960257203656657
beans,resnet18,finetuned,512,random features,319,193,RandomForestClassifier,0.84375,0.841414876246827,0.843892828999212,0.844776670358066,0.954045339065859
beans,resnet18,finetuned,512,random features,319,209,RandomForestClassifier,0.8359375,0.834859351868849,0.834280792420327,0.836840162421558,0.946696740711789
beans,resnet18,finetuned,512,random features,319,205,RandomForestClassifier,0.8359375,0.834297637937485,0.834892787524367,0.836655592469546,0.962205502355981
beans,resnet18,finetuned,512,random features,319,194,RandomForestClassifier,0.8359375,0.83478776125835,0.83729223409456,0.836840162421558,0.958480446442143
beans,resnet18,finetuned,512,random features,319,207,RandomForestClassifier,0.8046875,0.803761438804077,0.804101527054004,0.805278700627538,0.952246324886544
beans,resnet18,finetuned,512,random features,319,199,RandomForestClassifier,0.84375,0.843775649794802,0.843300110741971,0.844407530454042,0.958104249451719
beans,resnet18,finetuned,512,random features,319,199,RandomForestClassifier,0.8046875,0.804468764249886,0.804112554112554,0.805278700627538,0.946061602935748
beans,resnet34,finetuned,512,all features,,,RandomForestClassifier,0.828125,0.827396852224197,0.831929824561403,0.828349944629014,0.954539335113891
beans,resnet34,finetuned,512,brkga features,353,,RandomForestClassifier,0.859375,0.858484459087352,0.858333333333333,0.859726836471022,0.952075869107333
beans,resnet34,finetuned,512,random features,353,236,RandomForestClassifier,0.8359375,0.83450911228689,0.836413951545531,0.836286452565522,0.946368314767768
beans,resnet34,finetuned,512,random features,353,244,RandomForestClassifier,0.8125,0.810777965739174,0.815502645502646,0.813030638612034,0.951221961652878
beans,resnet34,finetuned,512,random features,353,245,RandomForestClassifier,0.875,0.874819624819625,0.875029036004646,0.875230712440015,0.954952988947517
